,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,Age_Bin,Drinks,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations,rain,cloudy,overcast,Hour
0,2015-10-19,20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,"(20, 30]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,20
1,2015-10-19,20:28:42,unknown,male,thin,32.0,no,no_kids,big,unknown,casual,white,short_sleeve,blue_jeans,long,unknown,6,9,no,19.0,4.0,21.0,2.922506027,101.6431294,3.0,"(30, 40]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,20
2,2015-10-19,20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,unknown,4,10,no,18.0,2.0,13.0,2.93553339,101.7371698,1.0,"(20, 30]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,20
3,2015-10-19,21:31:28,indian,male,thin,51.0,no,no_kids,unknown,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0,"(50, 60]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,21
4,2015-10-19,21:40:28,indian,male,unknown,34.0,no,no_kids,big,blue,casual,blue,unknown,white,long,clothes,3,9,unknown,15.0,1.0,13.0,2.903529733,101.6612493,3.0,"(30, 40]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,21
5,2015-10-19,23:45:38,unknown,male,fat,50.0,no,no_kids,unknown,unknown,casual,brown,unknown,blue_jeans,long,clothes,4,8,no,35.0,5.0,16.0,2.928514231,101.72064,3.0,"(40, 50]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,23
6,2015-10-19,23:53:38,unknown,female,fat,45.0,no,no_kids,big,pink,traditional,blue,unknown,black,long,clothes,5,10,no,30.0,3.0,17.0,2.970783341,101.6744587,2.0,"(40, 50]",1,cyberjaya,31.4,26.6,28.8,38.9,26.6,33.5,24.9,80.0,0.0,0,0.0,None,0.0,13.4,153.3,1011.0,96.5,1.7,172.5,14.9,7,2015-10-19T06:57:02,2015-10-19T18:59:44,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,23
7,2015-10-20,0:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0,"(40, 50]",1,cyberjaya,30.0,25.0,27.7,37.2,25.0,31.3,24.7,83.6,0.0,0,0.0,None,0.0,10.0,127.5,1010.1,96.5,1.2,225.0,19.4,8,2015-10-20T06:56:55,2015-10-20T18:59:29,0.23,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,0
8,2015-10-20,0:24:01,indian,male,thin,49.0,unknown,unknown,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,unknown,46.0,0.0,16.0,2.951176457,101.7465264,3.0,"(40, 50]",0,cyberjaya,30.0,25.0,27.7,37.2,25.0,31.3,24.7,83.6,0.0,0,0.0,None,0.0,10.0,127.5,1010.1,96.5,1.2,225.0,19.4,8,2015-10-20T06:56:55,2015-10-20T18:59:29,0.23,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,0
9,2015-10-20,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,unknown,short_sleeve,black,short,unknown,6,10,no,60.0,4.0,17.0,2.955301618,101.7039608,2.0,"(20, 30]",1,cyberjaya,30.0,25.0,27.7,37.2,25.0,31.3,24.7,83.6,0.0,0,0.0,None,0.0,10.0,127.5,1010.1,96.5,1.2,225.0,19.4,8,2015-10-20T06:56:55,2015-10-20T18:59:29,0.23,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK",0,0,1,0
